,Company Name,Listed Date,Issue Price,Listing Day Close,Listing Day Gain,Current Price,Profit/Loss,Year,Is_Successful
0,Jainik Power and Cables Limited,2025-06-17,110,82.85,-0.002468,,-0.002468,2025,0
1,Sacheerome Limited,2025-06-16,102,160.55,0.005739999999999999,0.0,0.006525,2025,0
2,Ganga Bath Fittings Limited,2025-06-11,49,56.05,0.001439,,-0.000673,2025,0
3,3B Films Limited,2025-06-06,50,46.08,-0.000784,32.21,-0.003558,2025,0
4,Neptune Petrochemicals Limited,2025-06-04,122,139.35,0.001422,,0.002156,2025,0
5,N R Vandana Tex Industries Limited,2025-06-04,45,43.7,-0.000289,,-0.000478,2025,0
6,Blue Water Logistics Limited,2025-06-03,135,148.05,0.000967,,0.003178,2025,0
7,Astonea Labs Ltd,2025-06-03,135,135.65,4.799999999999999e-05,142.35,0.000544,2025,0
8,Nikita Papers Limited,2025-06-03,104,90.45,-0.001303,,-0.000125,2025,0
9,Unified Data-Tech Solutions Limited,2025-05-29,273,299.25,0.000962,341.35,0.002504,2025,0
10,Dar Credit and Capital Limited,2025-05-28,60,63.95,0.000658,,-0.000742,2025,0
11,Accretion Pharmaceuticals Limited,2025-05-21,101,82.95,-0.001787,,-0.002376,2025,0
12,Integrity Infrabuild Developers Limited,2025-05-20,100,103.5,0.0003500000000000001,,0.0002,2025,0
13,Virtual Galaxy Infotech Limited,2025-05-19,142,189.0,0.00331,,0.002215,2025,0
14,Manoj Jewellers Limited,2025-05-12,54,53.77,-4.3e-05,45.07,-0.001654,2025,0
15,Srigee DLM Limited,2025-05-12,99,197.5,0.009949,276.8,0.01796,2025,0
16,Kenrik Industries Limited,2025-05-09,25,26.26,0.000504,18.2,-0.00272,2025,0
17,Arunaya Organics Limited,2025-05-07,58,31.6,-0.004552,,-0.004275999999999999,2025,0
18,Iware Supplychain Services Limited,2025-05-06,95,80.9,-0.001484,,-0.000263,2025,0
19,Tankup Engineers Limited,2025-04-30,140,183.75,0.003125,,0.013457,2025,0
20,Infonative Solutions Limited,2025-04-08,79,60.04,-0.0024,33.2,-0.005797,2025,0
21,Spinaroo Commercial Limited,2025-04-08,51,54.44,0.000675,65.89,0.00292,2025,0
22,Retaggio Industries Limited,2025-04-07,25,25.2,8e-05,19.35,-0.00226,2025,0
23,Identixweb Limited,2025-04-03,54,57.75,0.0006940000000000001,69.5,0.00287,2025,0
24,Shri Ahimsa Naturals Limited,2025-04-02,119,147.0,0.002353,,0.002689,2025,0
25,ATC Energies System Limited,2025-04-02,118,101.65,-0.001386,,-0.003182,2025,0
26,Desco Infratech Limited,2025-04-01,150,168.0,0.0012,229.0,0.005266999999999999,2025,0
27,Rapid Fleet Management Services Limited,2025-03-28,192,200.9,0.0004639999999999999,,0.000156,2025,0
28,Active Infrastructures Limited,2025-03-28,181,175.6,-0.000298,,-0.000608,2025,0
29,Grand Continent Hotels Limited,2025-03-27,113,107.25,-0.000509,,0.003765,2025,0
30,Paradeep Parivahan Limited,2025-03-24,98,82.32,-0.0016,111.75,0.001403,2025,0
31,Divine Hira Jewellers Limited,2025-03-24,90,85.5,-0.0005,,-0.004078,2025,0
32,Super Iron Foundry Limited,2025-03-19,108,102.6,-0.0005,34.79,-0.006778999999999999,2025,0
33,PDP Shipping & Projects Limited,2025-03-18,135,102.85,-0.002381,88.0,-0.003481,2025,0
34,NAPS Global India Limited,2025-03-11,90,102.6,0.0014,42.26,-0.005304,2025,0
35,Balaji Phosphates Limited,2025-03-07,70,74.35,0.000621,,0.010557,2025,0
36,Shreenath Paper Products Limited,2025-03-05,44,33.44,-0.0024,18.84,-0.005718,2025,0
37,Nukleus Office Solutions Limited,2025-03-04,234,196.55,-0.0016,180.9,-0.002269,2025,0
38,Beezaasan Explotech Limited,2025-03-03,175,153.3,-0.00124,245.0,0.004,2025,0
39,HP Telecom India Limited,2025-02-28,108,115.05,0.0006529999999999999,,0.008889000000000001,2025,0
40,Swasth Foodtech India Limited,2025-02-28,94,89.3,-0.0005,30.25,-0.006782,2025,0
41,Royalarc Electrodes Limited,2025-02-24,120,121.3,0.000108,,0.0025,2025,0
42,Tejas Cargo India Limited,2025-02-24,168,168.0,0.0,,-0.000137,2025,0
43,L.K. Mehta Polymers Limited,2025-02-21,71,68.29,-0.000382,52.05,-0.002669,2025,0
44,Shanmuga Hospital Limited,2025-02-21,54,51.3,-0.0005,37.32,-0.003089,2025,0
45,PS Raj Steels Limited,2025-02-19,140,150.6,0.0007570000000000001,,0.0008359999999999999,2025,0
46,Voler Car Limited,2025-02-19,90,91.45,0.000161,,-0.000189,2025,0
47,Maxvolt Energy Industries Limited,2025-02-19,180,180.9,5e-05,,0.0024,2025,0
48,Chandan Healthcare Limited,2025-02-17,159,173.35,0.000903,,0.003289,2025,0
49,Eleganz Interiors Limited,2025-02-14,130,116.05,-0.001073,,-0.000304,2025,0
50,Solarium Green Energy Limited,2025-02-13,191,211.9,0.001094,417.95,0.011882,2025,0
51,Readymix Construction Machinery Limited,2025-02-13,123,116.85,-0.0005,,-0.002329,2025,0
52,Ken Enterprises Limited,2025-02-12,94,80.75,-0.00141,,-0.005638,2025,0
53,Amwill Healthcare Limited,2025-02-12,111,93.25,-0.001599,70.74,-0.003627,2025,0
54,Chamunda Electrical Limited,2025-02-11,50,66.5,0.0033,,-0.00123,2025,0
55,Malpani Pipes And Fittings Limited,2025-02-04,90,84.04,-0.0006619999999999999,73.0,-0.001889,2025,0
56,GB Logistics Commerce Limited,2025-01-31,102,81.75,-0.001985,44.78,-0.00561,2025,0
57,H.M. Electro Mech Limited,2025-01-31,75,77.04,0.000272,68.57,-0.000857,2025,0
58,CLN Energy Limited,2025-01-30,250,254.15,0.000166,478.0,0.00912,2025,0
59,Rexpro Enterprises Limited,2025-01-29,145,111.15,-0.002334,,-0.004014,2025,0
60,CapitalNumbers Infotech Limited,2025-01-27,263,261.35,-6.3e-05,132.0,-0.004981,2025,0
61,EMA Partners India Limited,2025-01-24,124,148.7,0.001992,,-8.5e-05,2025,0
62,Landmark Immigration Consultants Limited,2025-01-23,72,75.07,0.000426,60.05,-0.00166,2025,0
63,Kabra Jewels Limited,2025-01-22,128,255.35,0.009949,,-0.000195,2025,0
64,Rikhav Securities Limited,2025-01-22,86,171.55,0.009948,58.95,-0.003145,2025,0
65,Barflex Polyfilms Limited,2025-01-20,60,63.0,0.0005,,0.001608,2025,0
66,Sat Kartar Shopping Limited,2025-01-17,81,161.55,0.009944,,0.015611,2025,0
67,B.R.Goyal Infrastructure Limited,2025-01-14,135,142.5,0.000556,125.0,-0.000741,2025,0
68,Delta Autocorp Limited,2025-01-14,130,167.25,0.002865,,-0.003946,2025,0
69,Avax Apparels And Ornaments Limited,2025-01-14,70,139.65,0.00995,119.2,0.007029,2025,0
70,Indobell Insulation Limited,2025-01-13,46,91.77,0.00995,131.75,0.018641,2025,0
71,Fabtech Technologies Cleanrooms Limited,2025-01-10,85,169.57,0.009949,345.0,0.030588,2025,0
72,Davin Sons Retail Limited,2025-01-09,55,46.2,-0.0016,18.53,-0.006631000000000001,2025,0
73,Parmeshwar Metal Limited,2025-01-09,61,88.72,0.004544,69.0,0.001311,2025,0
74,Leo Dry Fruits and Spices Trading Ltd,2025-01-08,52,71.36,0.003723,83.5,0.006058,2025,0
75,Technichem Organics Limited,2025-01-07,55,63.11,0.001475,44.1,-0.001982,2025,0
76,Citichem India Limited,2025-01-03,70,68.28,-0.000246,26.56,-0.006206000000000001,2025,0
77,Anya Polytech & Fertilizers Limited,2025-01-02,14,17.95,0.002821,,0.009285999999999999,2025,0
78,Newmalayalam Steel Limited,2024-12-27,90,85.5,-0.0005,,-0.006522,2024,0
79,Identical Brains Studios Limited,2024-12-26,54,99.75,0.008472,,-0.002222,2024,0
80,NACDAC Infrastructure Limited,2024-12-24,35,69.82,0.009949,40.25,0.0015,2024,0
81,Hamps Bio Limited,2024-12-20,51,101.74,0.009949,42.5,-0.001667,2024,0
82,Yash Highvoltage Limited,2024-12-19,146,285.63,0.009564,340.8,0.013342,2024,0
83,Purple United Sales Limited,2024-12-18,126,208.95,0.006583,,0.015091,2024,0
84,Supreme Facility Management Limited,2024-12-18,76,71.25,-0.000625,,-0.00573,2024,0
85,Jungle Camps India Limited,2024-12-17,72,129.96,0.00805,63.9,-0.001125,2024,0
86,Toss The Coin Limited,2024-12-17,182,363.05,0.009948,430.5,0.013654,2024,0
87,Dhanlaxmi Crop Science Ltd,2024-12-16,55,109.7,0.009945,,-0.000209,2024,0
88,Emerald Tyre Manufacturers Limited,2024-12-12,95,189.5,0.009947000000000001,,0.002947,2024,0
89,Nisus Finance Services Co Limited,2024-12-11,180,236.25,0.003125,275.5,0.005306,2024,0
90,Ganesh Infraworld Limited,2024-12-06,83,165.55,0.009946,,0.009542,2024,0
91,Agarwal Toughened Glass India Limited,2024-12-05,108,141.75,0.003125,,0.001787,2024,0
92,Apex Ecotech Limited,2024-12-04,73,145.6,0.009945,,0.007123000000000001,2024,0
93,Abha Power and Steel Limited,2024-12-04,75,77.8,0.000373,,-0.005873000000000001,2024,0
94,C2C Advanced Systems Limited,2024-12-03,226,450.85,0.009949,,0.015223,2024,0
95,Rajputana Biodiesel Limited,2024-12-03,130,259.35,0.00995,,0.007522999999999999,2024,0
96,Rajesh Power Services Limited,2024-12-02,335,668.3,0.009949,1508.05,0.035016,2024,0
97,Lamosaic India Limited,2024-11-29,200,172.2,-0.00139,,-0.008067999999999999,2024,0
98,Onyx Biotec Limited,2024-11-22,61,56.75,-0.000697,,-0.00191,2024,0
99,Mangal Compusolution Limited,2024-11-21,45,42.75,-0.0005,45.47,0.000104,2024,0
100,Neelam Linens and Garments (India) Ltd,2024-11-18,24,38.05,0.005854000000000001,,0.000667,2024,0
101,Usha Financial Services Limited,2024-10-31,168,155.85,-0.000723,,-0.005536,2024,0
102,Danish Power Limited,2024-10-29,380,598.5,0.00575,,0.018024,2024,0
103,United Heat Transfer Limited,2024-10-29,59,63.95,0.000839,,0.002712,2024,0
104,OBSC Perfection Limited,2024-10-29,100,115.5,0.00155,,0.019145,2024,0
105,Rapid Fleet Management Services Limited,2025-03-28,192,200.9,0.0004639999999999999,,0.000156,2024,0
106,Active Infrastructures Limited,2025-03-28,181,175.6,-0.000298,,-0.000608,2024,0
107,Grand Continent Hotels Limited,2025-03-27,113,107.25,-0.000509,,0.003765,2024,0
108,Paradeep Parivahan Limited,2025-03-24,98,82.32,-0.0016,111.75,0.001403,2024,0
109,Divine Hira Jewellers Limited,2025-03-24,90,85.5,-0.0005,,-0.004078,2024,0
110,Super Iron Foundry Limited,2025-03-19,108,102.6,-0.0005,34.79,-0.006778999999999999,2024,0
111,PDP Shipping & Projects Limited,2025-03-18,135,102.85,-0.002381,88.0,-0.003481,2024,0
112,NAPS Global India Limited,2025-03-11,90,102.6,0.0014,42.26,-0.005304,2024,0
113,Balaji Phosphates Limited,2025-03-07,70,74.35,0.000621,,0.010557,2024,0
114,Shreenath Paper Products Limited,2025-03-05,44,33.44,-0.0024,18.84,-0.005718,2024,0
115,Nukleus Office Solutions Limited,2025-03-04,234,196.55,-0.0016,180.9,-0.002269,2024,0
116,Beezaasan Explotech Limited,2025-03-03,175,153.3,-0.00124,245.0,0.004,2024,0
117,HP Telecom India Limited,2025-02-28,108,115.05,0.0006529999999999999,,0.008889000000000001,2024,0
118,Swasth Foodtech India Limited,2025-02-28,94,89.3,-0.0005,30.25,-0.006782,2024,0
119,Royalarc Electrodes Limited,2025-02-24,120,121.3,0.000108,,0.0025,2024,0
120,Tejas Cargo India Limited,2025-02-24,168,168.0,0.0,,-0.000137,2024,0
121,L.K. Mehta Polymers Limited,2025-02-21,71,68.29,-0.000382,52.05,-0.002669,2024,0
122,Shanmuga Hospital Limited,2025-02-21,54,51.3,-0.0005,37.32,-0.003089,2024,0
123,PS Raj Steels Limited,2025-02-19,140,150.6,0.0007570000000000001,,0.0008359999999999999,2024,0
124,Voler Car Limited,2025-02-19,90,91.45,0.000161,,-0.000189,2024,0
125,Maxvolt Energy Industries Limited,2025-02-19,180,180.9,5e-05,,0.0024,2024,0
126,Chandan Healthcare Limited,2025-02-17,159,173.35,0.000903,,0.003289,2024,0
127,Eleganz Interiors Limited,2025-02-14,130,116.05,-0.001073,,-0.000304,2024,0
128,Solarium Green Energy Limited,2025-02-13,191,211.9,0.001094,417.95,0.011882,2024,0
129,Readymix Construction Machinery Limited,2025-02-13,123,116.85,-0.0005,,-0.002329,2024,0
130,Ken Enterprises Limited,2025-02-12,94,80.75,-0.00141,,-0.005638,2024,0
131,Amwill Healthcare Limited,2025-02-12,111,93.25,-0.001599,70.74,-0.003627,2024,0
132,Chamunda Electrical Limited,2025-02-11,50,66.5,0.0033,,-0.00123,2024,0
133,Malpani Pipes And Fittings Limited,2025-02-04,90,84.04,-0.0006619999999999999,73.0,-0.001889,2024,0
134,GB Logistics Commerce Limited,2025-01-31,102,81.75,-0.001985,44.78,-0.00561,2024,0
135,H.M. Electro Mech Limited,2025-01-31,75,77.04,0.000272,68.57,-0.000857,2024,0
136,CLN Energy Limited,2025-01-30,250,254.15,0.000166,478.0,0.00912,2024,0
137,Rexpro Enterprises Limited,2025-01-29,145,111.15,-0.002334,,-0.004014,2024,0
138,CapitalNumbers Infotech Limited,2025-01-27,263,261.35,-6.3e-05,132.0,-0.004981,2024,0
139,EMA Partners India Limited,2025-01-24,124,148.7,0.001992,,-8.5e-05,2024,0
140,Landmark Immigration Consultants Limited,2025-01-23,72,75.07,0.000426,60.05,-0.00166,2024,0
141,Kabra Jewels Limited,2025-01-22,128,255.35,0.009949,,-0.000195,2024,0
142,Rikhav Securities Limited,2025-01-22,86,171.55,0.009948,58.95,-0.003145,2024,0
143,Barflex Polyfilms Limited,2025-01-20,60,63.0,0.0005,,0.001608,2024,0
144,Sat Kartar Shopping Limited,2025-01-17,81,161.55,0.009944,,0.015611,2024,0
145,B.R.Goyal Infrastructure Limited,2025-01-14,135,142.5,0.000556,125.0,-0.000741,2024,0
146,Delta Autocorp Limited,2025-01-14,130,167.25,0.002865,,-0.003946,2024,0
147,Avax Apparels And Ornaments Limited,2025-01-14,70,139.65,0.00995,119.2,0.007029,2024,0
148,Indobell Insulation Limited,2025-01-13,46,91.77,0.00995,131.75,0.018641,2024,0
149,Fabtech Technologies Cleanrooms Limited,2025-01-10,85,169.57,0.009949,345.0,0.030588,2024,0
150,Davin Sons Retail Limited,2025-01-09,55,46.2,-0.0016,18.53,-0.006631000000000001,2024,0
151,Parmeshwar Metal Limited,2025-01-09,61,88.72,0.004544,69.0,0.001311,2024,0
152,Leo Dry Fruits and Spices Trading Ltd,2025-01-08,52,71.36,0.003723,83.5,0.006058,2024,0
153,Technichem Organics Limited,2025-01-07,55,63.11,0.001475,44.1,-0.001982,2024,0
154,Citichem India Limited,2025-01-03,70,68.28,-0.000246,26.56,-0.006206000000000001,2024,0
155,Anya Polytech & Fertilizers Limited,2025-01-02,14,17.95,0.002821,,0.009285999999999999,2024,0
156,Trident Techlabs Limited,2023-12-29,35,103.05,0.019443,,0.133043,2023,1
157,Supreme Power Equipment Limited,2023-12-29,65,102.9,0.005830999999999999,,0.0199,2023,0
158,Indifra Limited,2023-12-29,65,68.4,0.000523,,-0.007385,2023,0
159,Shanti Spintex Limited,2023-12-27,70,79.8,0.0014,66.51,-0.000499,2023,0
160,Electro Force (India) Limited,2023-12-27,93,105.0,0.00129,,-0.004522,2023,0
161,Sahara Maritime Limited,2023-12-26,81,81.16,2e-05,36.64,-0.005476999999999999,2023,0
162,Benchmark Computer Solutions Limited,2023-12-21,66,77.12,0.001685,27.72,-0.0058,2023,0
163,Siyaram Recycling Industries Limited,2023-12-21,46,57.75,0.002554,123.2,0.016783,2023,0
164,Shree OSFM E-Mobility Limited,2023-12-21,65,68.25,0.0005,,0.007845999999999999,2023,0
165,S J Logistics (India) Limited,2023-12-19,125,183.75,0.004699999999999999,,0.028812,2023,0
166,Presstonic Engineering Limited,2023-12-18,72,147.0,0.010417,,0.004562,2023,0
167,Accent Microcell Limited,2023-12-15,140,315.0,0.0125,,0.006411,2023,0
168,Graphisads Limited,2023-12-13,111,105.95,-0.000455,,-0.006126,2023,0
169,Sheetal Universal Limited,2023-12-11,70,75.4,0.000771,,0.008486,2023,0
170,Net Avenue Technologies Limited,2023-12-08,18,39.9,0.012167,,-0.006694,2023,0
171,Marinetrans India Limited,2023-12-08,26,31.0,0.001923,,-0.003788,2023,0
172,Deepak Chemtex Limited,2023-12-06,80,159.6,0.00995,145.3,0.008163,2023,0
173,AMIC Forging Limited,2023-12-06,126,251.35,0.009948,1579.05,0.115321,2023,1
174,Swashthik Plascon Limited,2023-12-05,86,126.1,0.004663,45.09,-0.004757,2023,0
175,Rockingdeals Circular Economy Limited,2023-11-30,140,315.0,0.0125,,0.002486,2023,0
176,Arrowhead Seperation Engineering Limited,2023-11-28,233,237.5,0.000193,75.54,-0.006757999999999999,2023,0
177,Sunrest Lifescience Limited,2023-11-20,84,79.8,-0.0005,,-0.003708,2023,0
178,Kalyani Cast Tech Ltd,2023-11-17,139,277.3,0.00995,508.6,0.02659,2023,0
179,ROX Hi-Tech Limited,2023-11-16,83,141.75,0.007078,,-0.004325,2023,0
180,Baba Food Processing India Limited,2023-11-15,76,72.2,-0.0005,,-0.004803,2023,0
181,Micropro Software Solutions Limited,2023-11-10,81,76.0,-0.0006169999999999999,,-0.007179,2023,0
182,SAR Televenture Limited,2023-11-08,55,110.25,0.010045,,0.035245,2023,0
183,Maitreya Medicare Limited,2023-11-07,82,154.45,0.008834999999999999,,0.023884,2023,0
184,Mish Designs Limited,2023-11-07,122,152.0,0.002459,71.35,-0.004152,2023,0
185,Transteel Seating Technologies Limited,2023-11-06,70,93.3,0.003329,,0.0085,2023,0
186,KK Shah Hospitals Limited,2023-11-06,45,58.9,0.003089,44.5,-0.000111,2023,0
187,Vrundavan Plantation Limited,2023-11-06,108,101.65,-0.000588,51.1,-0.005269,2023,0
188,Paragon Fine And Speciality Chemicals Limited,2023-11-03,100,213.75,0.011375,,-0.00351,2023,0
